deck,label,subtitle,border_color,arithmetic,catnum,count,operations
survey,Trust in brand,from 1 to 10,#7f7f7f,Qualitative,Numeric-coded Categorical,Discrete,Ordinal
survey,Survey completion,in seconds,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
survey,Open-ended answer,,#7f7f7f,Qualitative,Neither Numeric nor Categorical,Discrete,Nominal
employment,Employee ID,,#7f7f7f,Qualitative,Numeric-coded Categorical,Discrete,Nominal
employment,Department,,#7f7f7f,Qualitative,Categorical,Discrete,Nominal
employment,Salary,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
employment,Work experience,in years,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
employment,Manager ID,,#7f7f7f,Qualitative,Numeric-coded Categorical,Discrete,Nominal
employment,Job title,with ranking or hierarchy,#7f7f7f,Qualitative,Categorical,Discrete,Ordinal
employment,Office location,,#7f7f7f,Qualitative,Categorical,Discrete,Nominal
employment,Bonus received,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
employment,Projects completed,count,#7f7f7f,Quantitative,Numeric,Discrete,Ratio
employment,Promotion eligibility,yes or no,#7f7f7f,Qualitative,Categorical,Binary,Ordinal
employment,Vacation days,,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
employment,Training hours,,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
employment,Job satisfaction,"(e.g., depressed, miserable)",#7f7f7f,Qualitative,Categorical,Discrete,Ordinal
employment,Team size,in count of people,#7f7f7f,Quantitative,Numeric,Discrete,Ratio
employment,Work hours,per week,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Monthly income,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Savings,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Credit score,,#7f7f7f,Quantitative,Numeric,Discrete,Interval
finance,Owned credit cards,count,#7f7f7f,Quantitative,Numeric,Discrete,Ratio
finance,Debt amount,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Shares of a company,,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Retirement fund,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Expenses per month,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Loan amount,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Mortgage status,"(e.g., approved, pending)",#7f7f7f,Qualitative,Categorical,Discrete,Ordinal
finance,Insurance type,from multiple-choice survey,#7f7f7f,Qualitative,Categorical,Discrete,Nominal
finance,Taxes paid,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Charitable donations,in dollars,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Domestic stock held,in percentage (%),#7f7f7f,Quantitative,Numeric,Continuous,Ratio
finance,Financial literacy,"(e.g., none, some)",#7f7f7f,Qualitative,Categorical,Discrete,Ordinal
lifestyle,Favorite sport,from multiple-choice survey,#7f7f7f,Qualitative,Categorical,Discrete,Nominal
lifestyle,Books read,since 2026,#7f7f7f,Quantitative,Numeric,Discrete,Ratio
lifestyle,Music genre,,#7f7f7f,Qualitative,Categorical,Discrete,Nominal
lifestyle,TV hours,per month,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
lifestyle,Exercise frequency,"(e.g., never, often)",#7f7f7f,Qualitative,Categorical,Discrete,Ordinal
lifestyle,Hobbies count,,#7f7f7f,Quantitative,Numeric,Discrete,Ratio
lifestyle,Travel frequency,"(e.g., never, often)",#7f7f7f,Qualitative,Categorical,Discrete,Ordinal
lifestyle,Pet ownership,true or false,#7f7f7f,Qualitative,Categorical,Binary,Nominal
lifestyle,Social media use,in minutes,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
lifestyle,Gaming,in hours,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
lifestyle,Cooking frequency,"(e.g., never, often)",#7f7f7f,Qualitative,Categorical,Discrete,Ordinal
lifestyle,Volunteering,in days,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
lifestyle,Art interests,as labels,#7f7f7f,Qualitative,Categorical,Discrete,Nominal
lifestyle,Outdoor activity,in minutes,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
lifestyle,Coffee intake,in milligrams,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
vehicles,Odometer,in miles,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
vehicles,Fuel remaining,in gallons,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
outdoors,Temperature (F),in Fahrenheit,#7f7f7f,Quantitative,Numeric,Continuous,Interval
outdoors,Temperature (C),in Celsius,#7f7f7f,Quantitative,Numeric,Continuous,Interval
outdoors,Temperature (K),in Kelvin,#7f7f7f,Quantitative,Numeric,Continuous,Ratio
